epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,1050.58,0.95233,0.48992,1.00851,0.99919,1,0.995,0.9073,0.50934,0.33997,0.80953,0.0012905,0.0012905,0.0012905
45,1073.52,0.94862,0.50849,1.01128,0.99598,0.9994,0.995,0.88256,0.55654,0.35708,0.81236,0.001274,0.001274,0.001274
46,1096.4,0.95722,0.49226,0.99662,1,0.99945,0.995,0.90637,0.51169,0.34877,0.79994,0.0012575,0.0012575,0.0012575
47,1119.3,0.95708,0.49887,1.00612,0.99849,1,0.995,0.89343,0.51163,0.35465,0.80805,0.001241,0.001241,0.001241
48,1142.16,0.94817,0.49033,1.00581,1,0.99961,0.995,0.90368,0.47839,0.3354,0.79552,0.0012245,0.0012245,0.0012245
49,1165.25,0.94119,0.48959,0.99846,0.99946,1,0.995,0.90331,0.48675,0.34186,0.80092,0.001208,0.001208,0.001208
50,1188.13,0.93965,0.48773,1.00179,1,0.9988,0.995,0.89899,0.49624,0.33392,0.80333,0.0011915,0.0011915,0.0011915
51,1211,0.9683,0.48115,1.01487,0.99977,0.99194,0.995,0.88696,0.57529,0.35873,0.81772,0.001175,0.001175,0.001175
52,1233.9,0.93535,0.49204,1.00378,1,0.99495,0.995,0.888,0.51723,0.33986,0.81012,0.0011585,0.0011585,0.0011585
53,1256.82,0.93139,0.49043,1.0048,0.99962,1,0.995,0.89712,0.4972,0.33517,0.80193,0.001142,0.001142,0.001142
54,1279.69,0.92568,0.47529,0.98873,0.99547,1,0.995,0.91148,0.4853,0.33314,0.8031,0.0011255,0.0011255,0.0011255
55,1302.73,0.93932,0.49492,1.0083,0.99994,1,0.995,0.90778,0.48172,0.33196,0.79827,0.001109,0.001109,0.001109
56,1325.63,0.93323,0.47591,0.99317,0.99931,1,0.995,0.89996,0.55544,0.35647,0.80851,0.0010925,0.0010925,0.0010925
57,1348.52,0.9298,0.4726,0.99702,0.99934,0.99597,0.995,0.91681,0.47273,0.33182,0.80163,0.001076,0.001076,0.001076
58,1372.49,0.91021,0.45064,0.99787,0.99981,1,0.995,0.90421,0.51767,0.33645,0.80139,0.0010595,0.0010595,0.0010595
59,1396.07,0.92679,0.46932,1.00741,0.99969,1,0.995,0.90025,0.50158,0.3301,0.79975,0.001043,0.001043,0.001043
60,1419.59,0.90829,0.47106,0.99804,0.99706,1,0.995,0.89426,0.51386,0.32303,0.80905,0.0010265,0.0010265,0.0010265
61,1443.29,0.9356,0.4757,0.99896,0.99937,1,0.995,0.88967,0.56274,0.33875,0.80258,0.00101,0.00101,0.00101
62,1466.86,0.92075,0.46301,0.98579,0.99943,1,0.995,0.90911,0.48272,0.31777,0.7994,0.0009935,0.0009935,0.0009935
63,1490.41,0.92348,0.46737,0.99718,0.99975,1,0.995,0.91969,0.48326,0.31817,0.79508,0.000977,0.000977,0.000977
64,1514.27,0.8902,0.45435,0.9814,0.99954,1,0.995,0.91091,0.47901,0.3206,0.79814,0.0009605,0.0009605,0.0009605
65,1540.13,0.93248,0.47583,0.99364,0.99975,1,0.995,0.90871,0.48744,0.32119,0.79618,0.000944,0.000944,0.000944
66,1564.88,0.89114,0.46473,0.97189,0.99932,1,0.995,0.91136,0.46087,0.3128,0.79217,0.0009275,0.0009275,0.0009275
67,1588.5,0.89754,0.44924,0.98632,1,0.99863,0.995,0.91925,0.44819,0.31129,0.78767,0.000911,0.000911,0.000911
